DevType,Language,Count,Rank
"Developer, front-end",Rust,1125,21
"Developer, front-end",Objective-C,868,22
"Developer, front-end",Assembly,746,23
"Developer, front-end",R,650,24
"Developer, front-end",Scala,543,25
"Developer, front-end",Perl,487,26
"Developer, front-end",Groovy,407,27
"Developer, front-end",Elixir,329,28
"Developer, front-end",Haskell,317,29
"Developer, front-end",Bash/Shell (all shells),303,30
"Developer, front-end",Delphi,282,31
"Developer, front-end",Clojure,227,32
"Developer, front-end",Lua,214,33
"Developer, front-end",Matlab,180,34
"Developer, front-end",MATLAB,158,35
"Developer, front-end",F#,154,36
"Developer, front-end",Solidity,130,37
"Developer, front-end",Other(s):,125,38
"Developer, front-end",Erlang,122,39
"Developer, front-end",LISP,96,40
"Developer, front-end",Julia,80,41
"Developer, front-end",COBOL,68,42
"Developer, front-end",Crystal,61,43
"Developer, front-end",SAS,40,44
"Developer, front-end",APL,37,45
"Developer, front-end",OCaml,27,46
"Developer, front-end",Fortran,25,47
"Developer, front-end",WebAssembly,24,48
"Developer, front-end",Visual Basic (.Net),23,49
"Developer, front-end",GDScript,12,50
"Developer, front-end",Prolog,8,51
"Developer, front-end",Flow,7,52
"Developer, front-end",Lisp,7,53
"Developer, front-end",Zig,4,54
"Developer, front-end",Apex,4,55
"Developer, front-end",Cobol,3,56
"Developer, front-end",Raku,1,57
"Developer, front-end",Ada,1,58
"Developer, full-stack",JavaScript,45390,1
"Developer, full-stack",HTML/CSS,38387,2
"Developer, full-stack",SQL,33668,3
"Developer, full-stack",TypeScript,27667,4
"Developer, full-stack",Python,20504,5
"Developer, full-stack",C#,19403,6
"Developer, full-stack",Java,17728,7
"Developer, full-stack",PHP,13932,8
"Developer, full-stack",Bash/Shell,7741,9
"Developer, full-stack",Node.js,7313,10
"Developer, full-stack",C++,7224,11
"Developer, full-stack",Go,6169,12
"Developer, full-stack",Bash/Shell/PowerShell,6032,13
"Developer, full-stack",C,5931,14
"Developer, full-stack",PowerShell,5778,15
"Developer, full-stack",Ruby,5290,16
"Developer, full-stack",Kotlin,4328,17
"Developer, full-stack",Bash/Shell (all shells),3546,18
"Developer, full-stack",Rust,3407,19
"Developer, full-stack",Dart,3043,20
"Developer, full-stack",Swift,2492,21
"Developer, full-stack",VBA,2340,22
"Developer, full-stack",Scala,1596,23
"Developer, full-stack",Assembly,1498,24
"Developer, full-stack",R,1496,25
"Developer, full-stack",Objective-C,1481,26
"Developer, full-stack",Groovy,1391,27
"Developer, full-stack",Elixir,1256,28
"Developer, full-stack",Perl,1140,29
"Developer, full-stack",Clojure,904,30
"Developer, full-stack",Lua,834,31
"Developer, full-stack",Haskell,729,32
"Developer, full-stack",Delphi,670,33
"Developer, full-stack",Visual Basic (.Net),501,34
"Developer, full-stack",F#,501,35
"Developer, full-stack",MATLAB,461,36
"Developer, full-stack",Erlang,376,37
"Developer, full-stack",Matlab,351,38
"Developer, full-stack",Solidity,349,39
"Developer, full-stack",LISP,229,40
"Developer, full-stack",Julia,225,41
"Developer, full-stack",Other(s):,189,42
"Developer, full-stack",Crystal,167,43
"Developer, full-stack",COBOL,113,44
"Developer, full-stack",GDScript,111,45
"Developer, full-stack",Lisp,102,46
"Developer, full-stack",OCaml,90,47
"Developer, full-stack",Fortran,89,48
"Developer, full-stack",SAS,77,49
"Developer, full-stack",Apex,71,50
"Developer, full-stack",APL,66,51
"Developer, full-stack",Prolog,55,52
"Developer, full-stack",Zig,49,53
"Developer, full-stack",Cobol,45,54
"Developer, full-stack",Flow,42,55
"Developer, full-stack",WebAssembly,32,56
"Developer, full-stack",Ada,29,57
"Developer, full-stack",Nim,26,58
"Developer, full-stack",Raku,7,59
"Developer, game or graphics",JavaScript,1725,1
"Developer, game or graphics",HTML/CSS,1502,2
"Developer, game or graphics",C#,1328,3
"Developer, game or graphics",SQL,1265,4
"Developer, game or graphics",Python,1068,5
"Developer, game or graphics",C++,970,6
"Developer, game or graphics",Java,927,7
"Developer, game or graphics",TypeScript,920,8
"Developer, game or graphics",PHP,696,9
"Developer, game or graphics",C,679,10
"Developer, game or graphics",Bash/Shell/PowerShell,497,11
"Developer, game or graphics",Bash/Shell,329,12
"Developer, game or graphics",Node.js,284,13
"Developer, game or graphics",Go,278,14
"Developer, game or graphics",Rust,275,15
"Developer, game or graphics",Kotlin,266,16
"Developer, game or graphics",Assembly,248,17
"Developer, game or graphics",Swift,244,18
"Developer, game or graphics",Objective-C,222,19
"Developer, game or graphics",PowerShell,202,20
"Developer, game or graphics",Ruby,189,21
"Developer, game or graphics",Dart,172,22
"Developer, game or graphics",VBA,149,23
"Developer, game or graphics",R,85,24
"Developer, game or graphics",Scala,74,25
"Developer, game or graphics",Lua,73,26
"Developer, game or graphics",Perl,73,27
"Developer, game or graphics",Other(s):,46,28
"Developer, game or graphics",Haskell,45,29
"Developer, game or graphics",Bash/Shell (all shells),39,30
"Developer, game or graphics",Groovy,37,31
"Developer, game or graphics",Delphi,37,32
"Developer, game or graphics",Elixir,33,33
"Developer, game or graphics",F#,31,34
"Developer, game or graphics",Matlab,28,35
"Developer, game or graphics",LISP,26,36
"Developer, game or graphics",Erlang,22,37
"Developer, game or graphics",MATLAB,21,38
"Developer, game or graphics",Julia,21,39
"Developer, game or graphics",Clojure,19,40
"Developer, game or graphics",Solidity,14,41
"Developer, game or graphics",WebAssembly,11,42
"Developer, game or graphics",GDScript,10,43
"Developer, game or graphics",COBOL,10,44
"Developer, game or graphics",APL,8,45
"Developer, game or graphics",Zig,6,46
"Developer, game or graphics",Fortran,6,47
"Developer, game or graphics",Crystal,5,48
"Developer, game or graphics",OCaml,4,49
"Developer, game or graphics",SAS,4,50
"Developer, game or graphics",Lisp,3,51
"Developer, game or graphics",Visual Basic (.Net),2,52
"Developer, game or graphics",Nim,2,53
"Developer, game or graphics",Prolog,1,54
"Developer, mobile",JavaScript,8240,1
"Developer, mobile",HTML/CSS,6968,2
"Developer, mobile",SQL,6067,3
"Developer, mobile",Java,5590,4
"Developer, mobile",TypeScript,4681,5
"Developer, mobile",C#,3941,6
"Developer, mobile",Python,3833,7
"Developer, mobile",PHP,3302,8
"Developer, mobile",Kotlin,3159,9
"Developer, mobile",Swift,2817,10
"Developer, mobile",C++,2294,11
"Developer, mobile",Dart,2218,12
"Developer, mobile",C,2029,13
"Developer, mobile",Objective-C,1793,14
"Developer, mobile",Node.js,1744,15
"Developer, mobile",Bash/Shell,1444,16
"Developer, mobile",Bash/Shell/PowerShell,1439,17
"Developer, mobile",Go,998,18
"Developer, mobile",Ruby,907,19
"Developer, mobile",PowerShell,673,20
"Developer, mobile",VBA,543,21
"Developer, mobile",Assembly,524,22
"Developer, mobile",Rust,473,23
"Developer, mobile",Groovy,302,24
"Developer, mobile",R,289,25
"Developer, mobile",Scala,224,26
"Developer, mobile",Delphi,222,27
"Developer, mobile",Perl,214,28
"Developer, mobile",Bash/Shell (all shells),151,29
"Developer, mobile",Haskell,149,30
"Developer, mobile",Elixir,146,31
"Developer, mobile",Matlab,123,32
"Developer, mobile",MATLAB,122,33
"Developer, mobile",Lua,96,34
"Developer, mobile",Clojure,84,35
"Developer, mobile",F#,70,36
"Developer, mobile",Other(s):,62,37
"Developer, mobile",Solidity,57,38
"Developer, mobile",Erlang,55,39
"Developer, mobile",LISP,48,40
"Developer, mobile",Julia,46,41
"Developer, mobile",COBOL,41,42
"Developer, mobile",Crystal,37,43
"Developer, mobile",APL,22,44
"Developer, mobile",SAS,16,45
"Developer, mobile",Fortran,13,46
"Developer, mobile",OCaml,13,47
"Developer, mobile",GDScript,12,48
"Developer, mobile",Visual Basic (.Net),11,49
"Developer, mobile",WebAssembly,11,50
"Developer, mobile",Lisp,4,51
"Developer, mobile",Apex,3,52
"Developer, mobile",Prolog,2,53
"Developer, mobile",Flow,2,54
"Developer, mobile",Zig,2,55
"Developer, mobile",Cobol,1,56
"Developer, mobile",Nim,1,57
"Developer, mobile",Ada,1,58
Educator,JavaScript,2098,1
Educator,HTML/CSS,1925,2
Educator,SQL,1697,3
Educator,Python,1296,4
Educator,Java,1087,5
Educator,TypeScript,986,6
Educator,PHP,904,7
Educator,C#,886,8
Educator,C++,671,9
Educator,Bash/Shell/PowerShell,611,10
Educator,C,601,11
Educator,Bash/Shell,496,12
Educator,Node.js,354,13
Educator,Go,342,14
Educator,Kotlin,301,15
Educator,Ruby,284,16
Educator,R,226,17
Educator,PowerShell,214,18
Educator,Swift,202,19
Educator,Assembly,195,20
Educator,Dart,184,21
Educator,VBA,178,22
Educator,Rust,163,23
Educator,Objective-C,146,24
Educator,Scala,109,25
Educator,Perl,91,26
Educator,Haskell,69,27
Educator,Groovy,64,28
Educator,Clojure,44,29
Educator,Delphi,44,30
Educator,Elixir,42,31
Educator,Other(s):,40,32
Educator,Matlab,36,33
Educator,F#,34,34
Educator,MATLAB,33,35
Educator,Lua,32,36
Educator,Erlang,30,37
Educator,LISP,28,38
Educator,Julia,26,39
Educator,Bash/Shell (all shells),21,40
Educator,COBOL,15,41
Educator,Solidity,13,42
Educator,APL,13,43
Educator,Crystal,10,44
Educator,Fortran,9,45
Educator,OCaml,6,46
Educator,WebAssembly,6,47
Educator,SAS,5,48
Educator,Lisp,3,49
Educator,Visual Basic (.Net),3,50
Educator,GDScript,2,51
Educator,Nim,1,52
Educator,Prolog,1,53
Educator,Cobol,1,54
"Engineer, data",Python,4604,1
"Engineer, data",SQL,4464,2
"Engineer, data",JavaScript,3486,3
"Engineer, data",HTML/CSS,2853,4
"Engineer, data",Java,2285,5
"Engineer, data",TypeScript,1451,6
"Engineer, data",Bash/Shell,1434,7
"Engineer, data",C#,1415,8
"Engineer, data",Bash/Shell/PowerShell,1093,9
"Engineer, data",C++,1088,10
"Engineer, data",PHP,1029,11
"Engineer, data",C,982,12
"Engineer, data",Scala,935,13
"Engineer, data",Go,878,14
"Engineer, data",R,810,15
"Engineer, data",PowerShell,608,16
"Engineer, data",Node.js,598,17
"Engineer, data",VBA,473,18
"Engineer, data",Rust,469,19
"Engineer, data",Ruby,429,20
"Engineer, data",Kotlin,391,21
"Engineer, data",Bash/Shell (all shells),312,22
"Engineer, data",Assembly,256,23
"Engineer, data",Perl,233,24
"Engineer, data",Swift,186,25
"Engineer, data",Dart,185,26
"Engineer, data",Groovy,176,27
"Engineer, data",Clojure,146,28
"Engineer, data",Objective-C,140,29
"Engineer, data",Haskell,119,30
"Engineer, data",Matlab,114,31
"Engineer, data",Julia,109,32
"Engineer, data",MATLAB,91,33
"Engineer, data",Delphi,89,34
"Engineer, data",Elixir,87,35
"Engineer, data",Lua,64,36
"Engineer, data",F#,63,37
"Engineer, data",LISP,55,38
"Engineer, data",Erlang,51,39
"Engineer, data",Other(s):,37,40
"Engineer, data",SAS,36,41
"Engineer, data",COBOL,31,42
"Engineer, data",Fortran,30,43
"Engineer, data",Solidity,28,44
"Engineer, data",Crystal,27,45
"Engineer, data",APL,21,46
"Engineer, data",Visual Basic (.Net),14,47
"Engineer, data",OCaml,11,48
"Engineer, data",Lisp,4,49
"Engineer, data",GDScript,3,50
"Engineer, data",Prolog,3,51
"Engineer, data",Cobol,3,52
"Engineer, data",Apex,3,53
"Engineer, data",WebAssembly,3,54
"Engineer, data",Nim,2,55
"Engineer, data",Zig,2,56
"Engineer, data",Ada,1,57
"Engineer, data",Raku,1,58
"Engineer, site reliability",JavaScript,2297,1
"Engineer, site reliability",Python,2153,2
"Engineer, site reliability",SQL,2092,3
"Engineer, site reliability",HTML/CSS,1813,4
"Engineer, site reliability",Java,1255,5
"Engineer, site reliability",TypeScript,1194,6
"Engineer, site reliability",Go,1190,7
"Engineer, site reliability",Bash/Shell,1180,8
"Engineer, site reliability",C#,832,9
"Engineer, site reliability",PHP,804,10
"Engineer, site reliability",Bash/Shell/PowerShell,777,11
"Engineer, site reliability",C++,584,12
"Engineer, site reliability",C,577,13
"Engineer, site reliability",Ruby,559,14
"Engineer, site reliability",Node.js,521,15
"Engineer, site reliability",PowerShell,418,16
"Engineer, site reliability",Rust,418,17
"Engineer, site reliability",Kotlin,295,18
"Engineer, site reliability",Scala,223,19
"Engineer, site reliability",Perl,222,20
"Engineer, site reliability",Groovy,205,21
"Engineer, site reliability",Assembly,153,22
"Engineer, site reliability",Bash/Shell (all shells),150,23
"Engineer, site reliability",R,134,24
"Engineer, site reliability",Swift,131,25
"Engineer, site reliability",Dart,130,26
"Engineer, site reliability",VBA,124,27
"Engineer, site reliability",Elixir,121,28
"Engineer, site reliability",Objective-C,101,29
"Engineer, site reliability",Haskell,84,30
"Engineer, site reliability",Clojure,81,31
"Engineer, site reliability",Erlang,76,32
"Engineer, site reliability",Lua,75,33
"Engineer, site reliability",LISP,34,34
"Engineer, site reliability",Julia,32,35
"Engineer, site reliability",Matlab,31,36
"Engineer, site reliability",Delphi,29,37
"Engineer, site reliability",F#,29,38
"Engineer, site reliability",MATLAB,27,39
"Engineer, site reliability",Solidity,27,40
"Engineer, site reliability",Crystal,19,41
"Engineer, site reliability",Other(s):,18,42
"Engineer, site reliability",Fortran,9,43
"Engineer, site reliability",COBOL,9,44
"Engineer, site reliability",APL,8,45
"Engineer, site reliability",OCaml,5,46
"Engineer, site reliability",SAS,4,47
"Engineer, site reliability",Lisp,3,48
"Engineer, site reliability",WebAssembly,3,49
"Engineer, site reliability",Visual Basic (.Net),2,50
"Engineer, site reliability",GDScript,2,51
"Engineer, site reliability",Zig,2,52
"Engineer, site reliability",Apex,2,53
"Engineer, site reliability",Cobol,1,54
"Engineer, site reliability",Raku,1,55
Engineering manager,JavaScript,4367,1
Engineering manager,SQL,3651,2
Engineering manager,HTML/CSS,3429,3
Engineering manager,Python,2714,4
Engineering manager,TypeScript,2578,5
Engineering manager,Java,1974,6
Engineering manager,C#,1881,7
Engineering manager,PHP,1351,8
Engineering manager,Bash/Shell,1280,9
Engineering manager,Go,1094,10
Engineering manager,C++,974,11
Engineering manager,C,833,12
Engineering manager,Ruby,831,13
Engineering manager,Node.js,810,14
Engineering manager,Bash/Shell/PowerShell,758,15
Engineering manager,PowerShell,664,16
Engineering manager,Kotlin,587,17
Engineering manager,Rust,490,18
Engineering manager,Swift,437,19
Engineering manager,Bash/Shell (all shells),359,20
Engineering manager,Scala,320,21
Engineering manager,Objective-C,307,22
Engineering manager,Dart,295,23
Engineering manager,Groovy,265,24
Engineering manager,VBA,243,25
Engineering manager,Elixir,229,26
Engineering manager,Assembly,228,27
Engineering manager,R,207,28
Engineering manager,Perl,202,29
Engineering manager,Clojure,130,30
Engineering manager,Delphi,113,31
Engineering manager,Lua,108,32
Engineering manager,Haskell,104,33
Engineering manager,Erlang,95,34
Engineering manager,F#,84,35
Engineering manager,MATLAB,69,36
Engineering manager,Julia,54,37
Engineering manager,LISP,52,38
Engineering manager,Matlab,43,39
Engineering manager,Solidity,38,40
Engineering manager,Visual Basic (.Net),31,41
Engineering manager,Crystal,21,42
Engineering manager,COBOL,20,43
Engineering manager,Other(s):,20,44
Engineering manager,OCaml,16,45
Engineering manager,Fortran,14,46
Engineering manager,APL,14,47
Engineering manager,GDScript,12,48
Engineering manager,Apex,8,49
Engineering manager,Lisp,7,50
Engineering manager,SAS,5,51
Engineering manager,Ada,4,52
Engineering manager,WebAssembly,4,53
Engineering manager,Cobol,3,54
Engineering manager,Flow,3,55
Engineering manager,Prolog,3,56
Engineering manager,Zig,2,57
Hardware Engineer,Python,34,1
Hardware Engineer,C,24,2
Hardware Engineer,SQL,23,3
Hardware Engineer,JavaScript,21,4
Hardware Engineer,C++,21,5
Hardware Engineer,HTML/CSS,20,6
Hardware Engineer,Bash/Shell (all shells),16,7
Hardware Engineer,C#,14,8
Hardware Engineer,Assembly,13,9
Hardware Engineer,PowerShell,10,10
Hardware Engineer,TypeScript,7,11
Hardware Engineer,Rust,7,12
Hardware Engineer,Java,6,13
Hardware Engineer,PHP,6,14
Hardware Engineer,MATLAB,6,15
Hardware Engineer,Lua,6,16
Hardware Engineer,R,5,17
Hardware Engineer,Delphi,4,18
Hardware Engineer,Swift,4,19
Hardware Engineer,Perl,3,20
Hardware Engineer,Go,3,21
Hardware Engineer,Kotlin,3,22
Hardware Engineer,Groovy,2,23
Hardware Engineer,Dart,2,24
Hardware Engineer,Julia,2,25
Hardware Engineer,Objective-C,2,26
Hardware Engineer,Ruby,1,27
Hardware Engineer,GDScript,1,28
Hardware Engineer,Visual Basic (.Net),1,29
Hardware Engineer,Cobol,1,30
Hardware Engineer,Lisp,1,31
Hardware Engineer,VBA,1,32
Hardware Engineer,Haskell,1,33
Hardware Engineer,Scala,1,34
Hardware Engineer,Zig,1,35
Marketing or sales professional,JavaScript,439,1
Marketing or sales professional,HTML/CSS,422,2
Marketing or sales professional,SQL,336,3
Marketing or sales professional,PHP,271,4
Marketing or sales professional,Python,233,5
Marketing or sales professional,TypeScript,155,6
Marketing or sales professional,Java,154,7
Marketing or sales professional,C#,153,8
Marketing or sales professional,Bash/Shell,105,9
Marketing or sales professional,C++,93,10
Marketing or sales professional,C,93,11
Marketing or sales professional,Node.js,81,12
Marketing or sales professional,Bash/Shell/PowerShell,75,13
Marketing or sales professional,Ruby,65,14
Marketing or sales professional,PowerShell,62,15
Marketing or sales professional,Go,60,16
Marketing or sales professional,Kotlin,47,17
Marketing or sales professional,VBA,45,18
Marketing or sales professional,R,45,19
Marketing or sales professional,Swift,42,20
Marketing or sales professional,Dart,30,21
Marketing or sales professional,Objective-C,28,22
Marketing or sales professional,Rust,27,23
Marketing or sales professional,Assembly,25,24
Marketing or sales professional,Perl,20,25
Marketing or sales professional,Delphi,15,26
Marketing or sales professional,Scala,13,27
Marketing or sales professional,F#,11,28
Marketing or sales professional,Lua,9,29
Marketing or sales professional,MATLAB,9,30
Marketing or sales professional,Groovy,8,31
Marketing or sales professional,Elixir,7,32
Marketing or sales professional,Julia,7,33
Marketing or sales professional,Erlang,7,34
Marketing or sales professional,LISP,6,35
Marketing or sales professional,Crystal,6,36
Marketing or sales professional,APL,6,37
Marketing or sales professional,Clojure,6,38
Marketing or sales professional,Matlab,6,39
Marketing or sales professional,Bash/Shell (all shells),5,40
Marketing or sales professional,Solidity,4,41
Marketing or sales professional,COBOL,4,42
Marketing or sales professional,Haskell,4,43
Marketing or sales professional,SAS,3,44
Marketing or sales professional,OCaml,3,45
Marketing or sales professional,Fortran,1,46
Marketing or sales professional,WebAssembly,1,47
Other (please specify):,JavaScript,1498,1
Other (please specify):,SQL,1343,2
Other (please specify):,Python,1165,3
Other (please specify):,HTML/CSS,1165,4
Other (please specify):,TypeScript,808,5
Other (please specify):,Java,748,6
Other (please specify):,C#,709,7
Other (please specify):,Bash/Shell,620,8
Other (please specify):,PowerShell,454,9
Other (please specify):,PHP,427,10
Other (please specify):,C++,396,11
Other (please specify):,Go,371,12
Other (please specify):,Node.js,359,13
Other (please specify):,C,342,14
Other (please specify):,Bash/Shell (all shells),311,15
Other (please specify):,Rust,222,16
Other (please specify):,Kotlin,207,17
Other (please specify):,Ruby,184,18
Other (please specify):,VBA,156,19
Other (please specify):,Groovy,139,20
Other (please specify):,R,119,21
Other (please specify):,Swift,117,22
Other (please specify):,Assembly,114,23
Other (please specify):,Dart,95,24
Other (please specify):,Perl,93,25
Other (please specify):,Scala,82,26
Other (please specify):,Objective-C,69,27
Other (please specify):,Elixir,54,28
Other (please specify):,Lua,54,29
Other (please specify):,Clojure,53,30
Other (please specify):,Delphi,49,31
Other (please specify):,MATLAB,42,32
Other (please specify):,F#,42,33
Other (please specify):,Haskell,39,34
Other (please specify):,Visual Basic (.Net),37,35
Other (please specify):,LISP,32,36
Other (please specify):,Erlang,31,37
Other (please specify):,Matlab,30,38
Other (please specify):,Julia,22,39
Other (please specify):,Solidity,22,40
Other (please specify):,Lisp,21,41
Other (please specify):,Fortran,15,42
Other (please specify):,Crystal,15,43
Other (please specify):,APL,13,44
Other (please specify):,COBOL,11,45
Other (please specify):,SAS,8,46
Other (please specify):,Apex,8,47
Other (please specify):,Cobol,7,48
Other (please specify):,GDScript,5,49
Other (please specify):,Ada,5,50
Other (please specify):,OCaml,4,51
Other (please specify):,Nim,4,52
Other (please specify):,Prolog,4,53
Other (please specify):,Zig,3,54
Other (please specify):,Flow,2,55
Other (please specify):,Raku,1,56
Product manager,JavaScript,2732,1
Product manager,HTML/CSS,2443,2
Product manager,SQL,2321,3
Product manager,Python,1462,4
Product manager,TypeScript,1327,5
Product manager,C#,1213,6
Product manager,PHP,1160,7
Product manager,Java,1127,8
Product manager,C++,679,9
Product manager,Bash/Shell,660,10
Product manager,C,584,11
Product manager,Node.js,559,12
Product manager,Bash/Shell/PowerShell,514,13
Product manager,Go,402,14
Product manager,PowerShell,354,15
Product manager,Ruby,325,16
Product manager,Kotlin,300,17
Product manager,VBA,297,18
Product manager,Swift,287,19
Product manager,Dart,223,20
Product manager,Objective-C,216,21
Product manager,R,186,22
Product manager,Rust,184,23
Product manager,Assembly,162,24
Product manager,Delphi,118,25
Product manager,Perl,105,26
Product manager,Scala,92,27
Product manager,Groovy,76,28
Product manager,Elixir,70,29
Product manager,Clojure,56,30
Product manager,Haskell,43,31
Product manager,Matlab,43,32
Product manager,F#,42,33
Product manager,Bash/Shell (all shells),41,34
Product manager,Lua,38,35
Product manager,Other(s):,34,36
Product manager,MATLAB,33,37
Product manager,Erlang,30,38
Product manager,Julia,29,39
Product manager,LISP,26,40
Product manager,COBOL,25,41
Product manager,Solidity,18,42
Product manager,Crystal,17,43
Product manager,Fortran,13,44
Product manager,APL,12,45
Product manager,SAS,7,46
Product manager,OCaml,6,47
Product manager,Visual Basic (.Net),5,48
Product manager,Apex,4,49
Product manager,WebAssembly,4,50
Product manager,Zig,2,51
Product manager,Cobol,2,52
Product manager,Lisp,2,53
Project manager,JavaScript,1148,1
Project manager,SQL,1015,2
Project manager,HTML/CSS,975,3
Project manager,TypeScript,665,4
Project manager,Python,632,5
Project manager,PHP,536,6
Project manager,C#,525,7
Project manager,Bash/Shell,489,8
Project manager,Java,456,9
Project manager,C++,286,10
Project manager,PowerShell,269,11
Project manager,C,235,12
Project manager,Go,175,13
Project manager,Kotlin,141,14
Project manager,Dart,125,15
Project manager,VBA,124,16
Project manager,Ruby,115,17
Project manager,Swift,115,18
Project manager,Delphi,103,19
Project manager,Rust,94,20
Project manager,Assembly,73,21
Project manager,R,71,22
Project manager,MATLAB,68,23
Project manager,Groovy,66,24
Project manager,Objective-C,63,25
Project manager,Lua,58,26
Project manager,Elixir,53,27
Project manager,Bash/Shell (all shells),40,28
Project manager,Perl,40,29
Project manager,Scala,34,30
Project manager,Haskell,30,31
Project manager,Erlang,26,32
Project manager,Solidity,25,33
Project manager,SAS,16,34
Project manager,F#,16,35
Project manager,Clojure,16,36
Project manager,Fortran,16,37
Project manager,Julia,16,38
Project manager,COBOL,15,39
Project manager,APL,14,40
Project manager,Visual Basic (.Net),13,41
Project manager,LISP,13,42
Project manager,Crystal,13,43
Project manager,OCaml,10,44
Project manager,Cobol,4,45
Project manager,GDScript,2,46
Project manager,Apex,2,47
Project manager,Ada,2,48
Project manager,Lisp,1,49
Research & Development role,Python,211,1
Research & Development role,JavaScript,172,2
Research & Development role,SQL,156,3
Research & Development role,HTML/CSS,131,4
Research & Development role,Bash/Shell (all shells),125,5
Research & Development role,TypeScript,113,6
Research & Development role,C++,111,7
Research & Development role,C#,100,8
Research & Development role,Java,99,9
Research & Development role,C,87,10
Research & Development role,Go,62,11
Research & Development role,PowerShell,59,12
Research & Development role,Rust,57,13
Research & Development role,PHP,49,14
Research & Development role,Kotlin,32,15
Research & Development role,Assembly,26,16
Research & Development role,R,23,17
Research & Development role,Perl,22,18
Research & Development role,MATLAB,21,19
Research & Development role,Dart,20,20
Research & Development role,Lua,19,21
Research & Development role,Groovy,18,22
Research & Development role,Scala,15,23
Research & Development role,Swift,14,24
Research & Development role,Ruby,13,25
Research & Development role,VBA,12,26
Research & Development role,Delphi,11,27
Research & Development role,Objective-C,11,28
Research & Development role,Lisp,8,29
Research & Development role,Visual Basic (.Net),8,30
Research & Development role,Haskell,8,31
Research & Development role,Fortran,7,32
Research & Development role,Zig,7,33
Research & Development role,Elixir,7,34
Research & Development role,OCaml,7,35
Research & Development role,Solidity,7,36
Research & Development role,Julia,6,37
Research & Development role,Clojure,6,38
Research & Development role,Erlang,6,39
Research & Development role,GDScript,4,40
Research & Development role,F#,3,41
Research & Development role,Ada,3,42
Research & Development role,Cobol,3,43
Research & Development role,Prolog,3,44
Research & Development role,Nim,2,45
Research & Development role,SAS,2,46
Research & Development role,Apex,2,47
Research & Development role,Crystal,1,48
Research & Development role,APL,1,49
Research & Development role,Raku,1,50
Scientist,Python,1213,1
Scientist,JavaScript,963,2
Scientist,SQL,936,3
Scientist,HTML/CSS,907,4
Scientist,C++,654,5
Scientist,Java,590,6
Scientist,C,552,7
Scientist,Bash/Shell/PowerShell,542,8
Scientist,R,403,9
Scientist,C#,403,10
Scientist,PHP,358,11
Scientist,TypeScript,342,12
Scientist,Bash/Shell,279,13
Scientist,Go,210,14
Scientist,Assembly,189,15
Scientist,Rust,158,16
Scientist,Ruby,143,17
Scientist,VBA,140,18
Scientist,Node.js,131,19
Scientist,PowerShell,109,20
Scientist,Scala,107,21
Scientist,Kotlin,106,22
Scientist,Other(s):,86,23
Scientist,Swift,77,24
Scientist,Objective-C,73,25
Scientist,Matlab,66,26
Scientist,Perl,62,27
Scientist,Julia,62,28
Scientist,Dart,55,29
Scientist,Haskell,54,30
Scientist,MATLAB,50,31
Scientist,Clojure,25,32
Scientist,F#,24,33
Scientist,Erlang,23,34
Scientist,Elixir,21,35
Scientist,LISP,21,36
Scientist,Groovy,21,37
Scientist,Delphi,21,38
Scientist,Lua,14,39
Scientist,Fortran,13,40
Scientist,Bash/Shell (all shells),10,41
Scientist,APL,10,42
Scientist,SAS,8,43
Scientist,Solidity,8,44
Scientist,COBOL,7,45
Scientist,Crystal,6,46
Scientist,OCaml,6,47
Scientist,WebAssembly,4,48
Scientist,Visual Basic (.Net),2,49
Scientist,Lisp,2,50
Security professional,JavaScript,571,1
Security professional,SQL,509,2
Security professional,Python,493,3
Security professional,HTML/CSS,461,4
Security professional,Bash/Shell,362,5
Security professional,TypeScript,349,6
Security professional,Java,292,7
Security professional,C#,258,8
Security professional,PowerShell,236,9
Security professional,Go,225,10
Security professional,PHP,212,11
Security professional,C,207,12
Security professional,C++,202,13
Security professional,Rust,131,14
Security professional,Ruby,112,15
Security professional,Assembly,91,16
Security professional,Bash/Shell (all shells),89,17
Security professional,Kotlin,73,18
Security professional,Groovy,67,19
Security professional,Perl,64,20
Security professional,Swift,58,21
Security professional,VBA,53,22
Security professional,Lua,53,23
Security professional,Dart,46,24
Security professional,Objective-C,41,25
Security professional,Scala,36,26
Security professional,Delphi,32,27
Security professional,Elixir,32,28
Security professional,R,30,29
Security professional,Haskell,29,30
Security professional,MATLAB,26,31
Security professional,Solidity,26,32
Security professional,Erlang,24,33
Security professional,LISP,20,34
Security professional,Clojure,15,35
Security professional,F#,14,36
Security professional,Crystal,10,37
Security professional,Fortran,10,38
Security professional,Julia,9,39
Security professional,Visual Basic (.Net),9,40
Security professional,OCaml,8,41
Security professional,APL,7,42
Security professional,COBOL,5,43
Security professional,SAS,4,44
Security professional,Lisp,2,45
Security professional,Nim,1,46
Security professional,GDScript,1,47
Security professional,Ada,1,48
"Senior Executive (C-Suite, VP, etc.)",JavaScript,1645,1
"Senior Executive (C-Suite, VP, etc.)",HTML/CSS,1351,2
"Senior Executive (C-Suite, VP, etc.)",SQL,1349,3
"Senior Executive (C-Suite, VP, etc.)",TypeScript,995,4
"Senior Executive (C-Suite, VP, etc.)",Python,938,5
"Senior Executive (C-Suite, VP, etc.)",C#,630,6
